,Подадена руда  от МГТЛ  за денонощието ,Състояние  на склад №2,Натрошена  руда от  Цех ССТ ,Класа_15,Класа_12,Превозена руда  до междинни бункери,Преработена  руда  в цех МФЦ ,Влага на преработената руда,Суха преработена руда,Грано,Unnamed: 13,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Метал  мед в рудите по Куриер ,Метал мед в отпадъка по Куриер,Метал мед в концентрата по Куриер,Товарно  извличане ,Добит  меден  концентрат,Влага на медния концентрат,Съдържание  на мед в медния к-т,Метал мед  в медния концентрат ,Литрово  тегло  в сгъстителя,"Меден  концентра, автомобилна везна"
10,24800.0,4.0,14661.0,1.0,4.3,14220.0,14471.0,0.084,13255.436,0.89,11797.33804,1179.733804,318.130464,2783.64156,6720.506052,5169.62004,44.67081932,4.6394025999999995,27.675172800000002,0.8473623355683233,144.0,0.109,0.2202,28.252540800000002,1.58,1012.98
11,20717.0,4.0,16045.0,2.0,5.6,14861.0,14860.0,0.075,13745.5,0.825,11340.037499999999,838.4755,1566.987,2859.064,7161.4055,5360.745,46.872155,4.810925,40.586112,0.8886264575002212,210.0,0.104,0.2195,41.30112,1.68,752.4
12,20240.0,4.0,13509.0,0.8,4.3,13298.0,14861.0,0.08,13672.12,0.7,9570.484,1257.8350400000002,2843.80096,2816.45672,7150.518760000001,5468.848000000001,47.168814000000005,4.3750784000000005,56.50675199999999,0.9234487261607613,288.0,0.095,0.2174,56.663136,1.74,505.1
13,17800.0,5.0,14093.0,1.9,3.6,14544.0,13517.0,0.082,12408.606,0.793,9840.024558000001,1377.355266,1191.226176,2680.258896,6167.077182,4839.35634,44.79506766,2.85397938,38.9180454,0.9255346652975287,191.0,0.094,0.2217,38.3642982,1.6,1005.68
14,16558.0,7.0,16077.0,3.8,4.6,15573.0,13508.0,0.079,12440.868,0.696,8658.844127999999,2152.270164,1629.7537080000002,2438.410128,6543.896568,4851.938520000001,44.91153348,2.6125822800000003,27.5044,0.9081636360846138,140.0,0.107,0.2239,27.991977999999996,1.65,1013.86
15,20775.0,7.0,20065.0,3.9,4.3,18904.0,13156.0,0.074,12182.456,0.687,8369.347272,1449.712264,2363.396464,2351.214008,6225.2350160000005,4872.9824,43.97866616,2.55831576,39.613217,0.9353222591146427,203.0,0.086,0.2132,39.5575544,1.65,1001.06
16,18800.0,3.0,17179.0,3.5,5.1,16090.0,13666.0,0.076,12627.384,0.848,10708.021632,934.4264159999999,984.935952,2601.2411039999997,6439.96584,4924.67976,47.60523768,2.5254768000000003,41.085184,0.9376138645673445,202.0,0.092,0.2219,40.7000104,1.65,779.88
17,19300.0,3.0,14399.0,0.9,3.3,14161.0,14383.0,0.079,13246.743,0.651,8623.629693,2636.101857,1987.01145,2609.6083710000003,7153.241220000001,5298.6972000000005,47.6882748,2.6493486,36.8742,0.930649991077031,185.0,0.094,0.2288,38.349168000000006,1.7,767.74
18,20450.0,2.0,16619.0,2.6,2.7,15351.0,15022.0,0.078,13850.284000000001,0.792,10969.424928000002,1717.435216,1163.4238560000001,3157.8647520000004,6911.291716000001,5540.113600000001,49.03000536000001,2.9085596400000004,42.4068688,0.931447765060991,212.0,0.092,0.2209,42.5223664,1.75,1005.88
19,20233.0,4.0,17035.0,3.7,4.5,16142.0,14806.0,0.081,13606.714,0.599,8150.421686,1374.2781140000002,4082.0141999999996,2979.870366,6626.469717999999,5442.685600000001,47.079230439999996,3.4016785,43.6006224,0.9218397526993894,219.0,0.088,0.2169,43.32100320000001,1.75,1017.68
20,19950.0,5.0,15331.0,3.7,5.5,15314.0,14631.0,0.083,13416.627,0.73,9794.13771,858.664128,2763.825162,2844.324924,6855.896397,5366.6508,47.49485958,3.35415675,44.192814000000006,0.9199933212937613,213.0,0.086,0.2145,41.759289,1.66,1263.18
21,17610.0,5.0,14840.0,3.3,5.7,14139.0,15025.0,0.076,13883.1,0.726,10079.1306,2374.0101000000004,1429.9593,2887.6848,6802.719,5414.409000000001,48.174357,3.1931130000000003,42.0096384,0.922020176622333,204.0,0.088,0.2181,40.5770688,1.8,998.72
22,20584.0,6.0,16053.0,2.5,4.2,15663.0,15131.0,0.083,13875.127,0.745,10336.969615,1276.511684,2261.6457010000004,2913.77667,7034.689389,5550.050800000001,48.84044704,3.1912792100000003,41.2285804,0.9246034664247058,196.0,0.089,0.2376,42.4249056,1.65,1011.22
